Transaction_Amount,Transaction_Type,Time_of_Transaction,Device_Used,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Fraudulent
2671.71,Bank Transfer,23.0,Mobile,Houston,0,8,7,Net Banking,1
780.29,Online Purchase,20.0,Desktop,Houston,2,45,11,Debit Card,1
4570.98,POS Payment,12.0,Mobile,Los Angeles,0,42,2,Net Banking,1
4273.13,Online Purchase,17.0,Desktop,Boston,4,18,8,UPI,1
1995.35,ATM Withdrawal,12.0,Desktop,San Francisco,1,43,1,Net Banking,1
4400.71,Bank Transfer,22.0,Tablet,Miami,0,39,11,UPI,1
3589.35,Bank Transfer,17.0,Desktop,New York,1,62,2,UPI,1
1711.14,Bill Payment,16.0,Tablet,New York,2,93,4,Credit Card,1
2258.49,Online Purchase,15.0,Mobile,Chicago,2,66,11,UPI,1
1947.93,ATM Withdrawal,13.0,Tablet,Miami,4,111,11,Credit Card,1
4454.42,Bank Transfer,5.0,Mobile,Los Angeles,2,57,2,Net Banking,1
776.1,POS Payment,6.0,Tablet,New York,2,117,5,Credit Card,1
2967.53,Bank Transfer,21.0,Desktop,Houston,3,9,11,Net Banking,1
2355.58,POS Payment,2.0,Desktop,Boston,1,119,4,UPI,1
3872.64,Online Purchase,11.0,Mobile,New York,2,60,5,Invalid Method,1
907.82,ATM Withdrawal,20.0,Desktop,Boston,2,94,1,UPI,1
1910.74,Bill Payment,18.0,Mobile,Miami,2,56,10,Net Banking,1
4163.16,Bank Transfer,19.0,Tablet,Chicago,2,9,9,Debit Card,1
1908.89,Online Purchase,14.0,Desktop,Miami,4,103,9,Net Banking,1
1503.03,Online Purchase,17.0,Desktop,Houston,2,36,7,UPI,1
4924.22,Bill Payment,23.0,Tablet,Chicago,2,19,14,Net Banking,1
4685.32,Online Purchase,21.0,Desktop,Chicago,3,106,12,Credit Card,1
2979.02,Online Purchase,10.0,Mobile,Chicago,3,85,14,Debit Card,1
3641.24,Bank Transfer,5.0,Desktop,Boston,1,42,8,UPI,1
1011.68,Bill Payment,16.0,Desktop,Los Angeles,0,72,12,Debit Card,1
453.29,Online Purchase,20.0,Tablet,Houston,3,95,2,Debit Card,1
1851.42,POS Payment,5.0,Tablet,Chicago,1,72,1,Debit Card,1
49997.8,ATM Withdrawal,15.0,Mobile,Los Angeles,0,37,14,Credit Card,1
3579.22,ATM Withdrawal,19.0,Tablet,New York,4,107,1,Debit Card,1
1281.94,Bill Payment,8.0,Mobile,Houston,2,93,5,Credit Card,1
1142.35,Bill Payment,18.0,Mobile,Boston,0,75,14,UPI,1
3524.36,ATM Withdrawal,19.0,Desktop,Houston,3,57,5,UPI,1
3012.01,ATM Withdrawal,13.0,Mobile,Chicago,4,73,5,Credit Card,1
2634.52,Bank Transfer,23.0,Tablet,Houston,1,19,12,UPI,1
299.86,POS Payment,11.0,Tablet,Miami,1,74,5,Credit Card,1
1990.6,POS Payment,15.0,Mobile,San Francisco,2,108,2,Debit Card,1
1505.96,POS Payment,11.0,Tablet,Miami,0,43,6,Credit Card,1
584.12,ATM Withdrawal,15.0,Desktop,Chicago,0,81,6,UPI,1
1118.68,Bank Transfer,18.0,Tablet,New York,2,109,2,Debit Card,1
4361.87,POS Payment,18.0,Desktop,Houston,3,85,3,Credit Card,1
2323.49,Bill Payment,18.0,Tablet,Houston,2,111,10,Credit Card,1
1583.57,Bank Transfer,18.0,Tablet,Boston,3,91,8,Credit Card,1
4862.38,Bill Payment,21.0,Tablet,Seattle,4,94,7,UPI,1
1291.39,POS Payment,21.0,Tablet,San Francisco,2,96,13,Debit Card,1
4886.5,Online Purchase,5.0,Tablet,Houston,4,118,2,Debit Card,1
1406.33,Bank Transfer,11.0,Tablet,Chicago,2,64,12,Credit Card,1
1810.0,Bill Payment,19.0,Mobile,Miami,1,73,13,Debit Card,1
1052.37,Online Purchase,23.0,Mobile,Houston,4,119,3,Net Banking,1
619.96,Bank Transfer,11.0,Desktop,Boston,4,107,2,Net Banking,1
135.66,POS Payment,23.0,Tablet,Chicago,0,12,3,UPI,1
219.27,Bank Transfer,12.0,Mobile,Los Angeles,2,111,14,UPI,1
3881.62,POS Payment,21.0,Tablet,San Francisco,4,86,4,Invalid Method,1
3412.94,Bill Payment,20.0,Tablet,Miami,0,88,13,Credit Card,1
443.73,Online Purchase,19.0,Mobile,Miami,1,26,11,Credit Card,1
4542.68,ATM Withdrawal,6.0,Mobile,Miami,4,83,3,Credit Card,1
1659.66,ATM Withdrawal,19.0,Desktop,Los Angeles,0,33,2,Credit Card,1
3889.56,Bank Transfer,9.0,Desktop,Miami,2,30,4,UPI,1
2077.69,ATM Withdrawal,22.0,Tablet,Miami,3,43,10,Debit Card,1
49997.8,Online Purchase,21.0,Desktop,San Francisco,2,85,10,Net Banking,1
365.47,Online Purchase,20.0,Tablet,Miami,1,57,7,Net Banking,1
2347.02,Online Purchase,16.0,Unknown Device,Los Angeles,4,13,6,Net Banking,1
369.82,Online Purchase,16.0,Desktop,San Francisco,1,97,1,Credit Card,1
2422.33,ATM Withdrawal,1.0,Mobile,Chicago,3,34,5,Credit Card,1
4946.09,POS Payment,16.0,Tablet,Boston,0,110,1,Credit Card,1
3132.82,Online Purchase,19.0,Desktop,Boston,0,71,6,Credit Card,1
3539.37,Bank Transfer,17.0,Tablet,Los Angeles,0,31,5,Net Banking,1
49997.8,POS Payment,9.0,Desktop,Boston,2,65,14,Credit Card,1
785.19,ATM Withdrawal,11.0,Desktop,Boston,1,83,6,Net Banking,1
840.24,Bank Transfer,7.0,Tablet,Boston,4,15,3,Credit Card,1
3075.05,ATM Withdrawal,4.0,Mobile,Los Angeles,1,98,2,Net Banking,1
1229.71,POS Payment,18.0,Desktop,San Francisco,1,84,7,UPI,1
3654.95,Bill Payment,10.0,Tablet,Boston,4,34,1,Debit Card,1
1611.99,POS Payment,11.0,Tablet,Los Angeles,2,100,9,Net Banking,1
4511.34,Bank Transfer,20.0,Mobile,San Francisco,2,81,6,UPI,1
1172.76,ATM Withdrawal,20.0,Desktop,Chicago,0,85,8,Net Banking,1
323.23,ATM Withdrawal,6.0,Tablet,Los Angeles,0,64,6,Net Banking,1
2018.15,ATM Withdrawal,7.0,Unknown Device,Los Angeles,1,95,13,Invalid Method,1
3071.08,ATM Withdrawal,14.0,Mobile,Chicago,4,92,2,Credit Card,1
2346.06,Bill Payment,23.0,Tablet,Houston,4,53,10,UPI,1
2818.38,POS Payment,19.0,Desktop,Los Angeles,1,117,5,Debit Card,1
4879.7,POS Payment,6.0,Tablet,Houston,1,97,13,Debit Card,1
692.36,Bank Transfer,20.0,Desktop,Miami,4,71,11,Debit Card,1
4263.07,Online Purchase,15.0,Unknown Device,Houston,2,95,9,Invalid Method,1
807.2,POS Payment,22.0,Desktop,Boston,0,84,1,Invalid Method,1
2898.71,POS Payment,16.0,Desktop,Miami,1,24,4,Credit Card,1
982.29,Online Purchase,15.0,Tablet,Los Angeles,0,78,2,Credit Card,1
3071.59,Bill Payment,8.0,Mobile,Houston,3,79,5,Debit Card,1
2053.27,Bank Transfer,7.0,Tablet,New York,3,111,6,Debit Card,1
4416.71,Bank Transfer,19.0,Mobile,Seattle,0,110,5,Credit Card,1
4946.31,Bill Payment,3.0,Tablet,Boston,1,86,12,Debit Card,1
4773.4,Bank Transfer,12.0,Desktop,Boston,2,100,2,Net Banking,1
3959.26,Bill Payment,4.0,Mobile,Boston,1,34,11,Credit Card,1
3080.78,Bank Transfer,16.0,Tablet,San Francisco,2,50,5,Credit Card,1
3158.03,POS Payment,1.0,Desktop,Chicago,3,114,6,Debit Card,1
4785.53,ATM Withdrawal,0.0,Mobile,Chicago,3,22,6,UPI,1
2038.05,Bill Payment,21.0,Desktop,Boston,4,12,4,UPI,1
4605.26,ATM Withdrawal,11.0,Tablet,Boston,3,51,10,Credit Card,1
3423.87,Bill Payment,20.0,Desktop,New York,4,100,4,UPI,1
3522.65,POS Payment,13.0,Tablet,Houston,3,117,3,Net Banking,1
302.04,POS Payment,18.0,Mobile,Houston,1,57,8,Credit Card,1
4634.61,POS Payment,16.0,Mobile,Houston,1,69,11,Net Banking,1
599.89,Bill Payment,17.0,Mobile,Boston,2,1,11,Credit Card,1
4591.77,Online Purchase,3.0,Tablet,Chicago,3,50,3,Credit Card,1
3840.16,Online Purchase,21.0,Mobile,Los Angeles,0,100,12,UPI,1
1804.38,Online Purchase,6.0,Desktop,Boston,1,59,14,Debit Card,1
4804.94,Bill Payment,10.0,Desktop,Boston,4,60,6,Net Banking,1
4495.19,Online Purchase,2.0,Tablet,Chicago,4,114,13,Credit Card,1
605.07,Online Purchase,16.0,Desktop,Miami,0,105,6,Net Banking,1
3898.36,Bill Payment,18.0,Mobile,New York,2,50,8,UPI,1
2282.91,POS Payment,5.0,Desktop,Boston,0,28,4,Net Banking,1
2040.78,Online Purchase,8.0,Tablet,Los Angeles,3,62,2,Credit Card,1
1138.47,POS Payment,4.0,Tablet,Los Angeles,0,110,3,Net Banking,1
4164.51,ATM Withdrawal,12.0,Tablet,Houston,3,14,4,Net Banking,1
2522.9,Bill Payment,11.0,Mobile,Boston,0,44,7,Credit Card,1
1893.98,ATM Withdrawal,13.0,Desktop,Los Angeles,2,28,9,Debit Card,1
3106.76,POS Payment,15.0,Mobile,Boston,3,57,10,Credit Card,1
2310.7,POS Payment,19.0,Desktop,New York,1,96,1,Net Banking,1
1904.48,ATM Withdrawal,10.0,Tablet,Chicago,3,93,11,Credit Card,1
4722.53,Online Purchase,1.0,Mobile,Houston,0,108,2,Credit Card,1
49997.8,Online Purchase,7.0,Tablet,Miami,2,72,3,UPI,1
2956.77,Bank Transfer,22.0,Tablet,Seattle,0,95,7,Net Banking,1
4384.39,Bill Payment,14.0,Mobile,Los Angeles,1,25,5,Net Banking,1
3052.24,Bank Transfer,10.0,Desktop,Los Angeles,2,87,9,Net Banking,1
2855.07,Online Purchase,19.0,Tablet,Seattle,2,99,1,Debit Card,1
1328.01,Online Purchase,6.0,Tablet,New York,2,107,4,UPI,1
49997.8,Bill Payment,19.0,Desktop,Miami,2,35,13,UPI,1
108.53,Bill Payment,5.0,Unknown Device,Boston,3,91,14,UPI,1
4541.45,ATM Withdrawal,18.0,Desktop,Chicago,2,83,12,UPI,1
3238.22,ATM Withdrawal,20.0,Mobile,San Francisco,1,91,10,UPI,1
4165.42,Online Purchase,20.0,Mobile,San Francisco,4,79,7,UPI,1
4787.78,Online Purchase,12.0,Mobile,Los Angeles,2,39,8,Debit Card,1
1241.61,Bank Transfer,4.0,Desktop,Chicago,0,82,6,UPI,1
574.49,Online Purchase,21.0,Unknown Device,Chicago,0,13,7,Net Banking,1
1669.19,Bank Transfer,7.0,Unknown Device,Chicago,1,90,5,Net Banking,1
1119.45,POS Payment,19.0,Mobile,Houston,2,106,8,Credit Card,1
1344.01,Online Purchase,4.0,Desktop,Los Angeles,1,116,6,Credit Card,1
774.18,ATM Withdrawal,12.0,Mobile,Houston,2,69,13,UPI,1
2749.64,POS Payment,4.0,Mobile,Los Angeles,3,105,12,Credit Card,1
3835.2,Bank Transfer,10.0,Mobile,San Francisco,0,108,9,Credit Card,1
4805.07,Bill Payment,0.0,Mobile,Chicago,4,93,14,Invalid Method,1
1745.2,Bill Payment,5.0,Tablet,Chicago,1,74,1,UPI,1
3850.69,ATM Withdrawal,5.0,Desktop,Boston,3,46,11,Debit Card,1
1076.65,Bank Transfer,15.0,Tablet,Boston,2,67,6,Invalid Method,1
1332.38,POS Payment,22.0,Tablet,Los Angeles,2,94,3,UPI,1
2459.37,POS Payment,5.0,Mobile,Boston,3,44,10,UPI,1
3399.04,ATM Withdrawal,9.0,Tablet,Los Angeles,4,111,1,UPI,1
3103.03,Online Purchase,11.0,Unknown Device,Houston,3,37,2,Invalid Method,1
3034.9,ATM Withdrawal,20.0,Desktop,Seattle,3,59,2,UPI,1
1585.99,Bill Payment,19.0,Mobile,Chicago,2,94,5,UPI,1
3262.6,Bank Transfer,0.0,Tablet,Houston,4,109,4,UPI,1
3964.72,Bill Payment,18.0,Tablet,San Francisco,1,58,6,UPI,1
3203.86,Bank Transfer,16.0,Desktop,Chicago,4,17,1,UPI,1
4797.17,Bank Transfer,7.0,Mobile,Seattle,4,118,3,Credit Card,1
3291.45,Bank Transfer,18.0,Mobile,Seattle,3,111,3,Credit Card,1
2464.88,Bank Transfer,7.0,Tablet,Boston,3,4,8,Net Banking,1
2644.72,Bill Payment,2.0,Desktop,Los Angeles,3,77,5,Net Banking,1
4960.93,POS Payment,6.0,Tablet,Los Angeles,2,103,5,UPI,1
3732.62,Bill Payment,20.0,Tablet,Houston,3,1,4,Debit Card,1
4801.35,ATM Withdrawal,14.0,Mobile,Houston,4,119,10,Debit Card,1
1672.98,ATM Withdrawal,19.0,Mobile,Chicago,3,1,9,Credit Card,1
2154.09,POS Payment,0.0,Desktop,Miami,0,94,3,Net Banking,1
1878.91,Bill Payment,23.0,Tablet,Houston,3,17,9,Credit Card,1
2573.42,Bank Transfer,21.0,Mobile,Miami,2,119,11,UPI,1
3833.66,Bill Payment,18.0,Desktop,Los Angeles,4,51,2,Net Banking,1
4256.94,Bank Transfer,14.0,Tablet,Miami,3,47,10,Net Banking,1
3777.7,Bank Transfer,0.0,Desktop,Miami,0,114,3,Net Banking,1
597.5,POS Payment,18.0,Mobile,Los Angeles,1,38,6,Credit Card,1
3475.43,Bank Transfer,17.0,Mobile,New York,3,53,8,Credit Card,1
3230.64,Bank Transfer,18.0,Mobile,Houston,4,100,7,Credit Card,1
1125.78,ATM Withdrawal,12.0,Desktop,Houston,0,35,1,UPI,1
751.29,Bill Payment,13.0,Tablet,Chicago,2,109,3,Credit Card,1
2115.89,ATM Withdrawal,23.0,Mobile,Los Angeles,2,6,5,Debit Card,1
329.98,Online Purchase,23.0,Desktop,Houston,1,110,11,UPI,1
3142.32,Online Purchase,7.0,Tablet,Houston,2,7,5,Debit Card,1
3000.17,POS Payment,13.0,Mobile,Chicago,0,85,1,Net Banking,1
1348.21,Online Purchase,21.0,Mobile,Seattle,0,117,13,UPI,1
197.01,Bank Transfer,22.0,Desktop,Houston,0,21,10,Debit Card,1
2980.47,Bank Transfer,7.0,Unknown Device,Los Angeles,4,76,3,UPI,1
4730.64,ATM Withdrawal,13.0,Desktop,Boston,4,39,8,Debit Card,1
3236.68,ATM Withdrawal,19.0,Desktop,San Francisco,0,2,1,Credit Card,1
2471.08,ATM Withdrawal,0.0,Mobile,Boston,0,25,2,UPI,1
4067.45,Online Purchase,2.0,Desktop,Houston,3,27,3,Net Banking,1
4575.34,Online Purchase,18.0,Mobile,Seattle,3,119,2,Credit Card,1
1002.89,Online Purchase,18.0,Mobile,Chicago,1,93,8,Debit Card,1
1160.38,Online Purchase,3.0,Tablet,Chicago,0,50,4,Credit Card,1
3830.27,Bank Transfer,9.0,Mobile,Chicago,1,54,3,Credit Card,1
1694.6,ATM Withdrawal,23.0,Desktop,San Francisco,3,80,4,UPI,1
2358.14,Online Purchase,3.0,Tablet,Houston,3,27,3,Credit Card,1
3696.38,ATM Withdrawal,10.0,Desktop,Los Angeles,1,110,14,UPI,1
2900.12,POS Payment,16.0,Tablet,Miami,4,7,6,Debit Card,1
1074.47,Bank Transfer,0.0,Desktop,Chicago,1,75,3,Net Banking,1
4727.38,Bill Payment,11.0,Mobile,Chicago,3,54,11,UPI,1
2023.14,POS Payment,14.0,Mobile,Seattle,3,96,5,Invalid Method,1
3444.0,Bank Transfer,22.0,Unknown Device,Boston,2,26,4,Credit Card,1
4833.81,Bill Payment,8.0,Tablet,Los Angeles,0,16,8,Debit Card,1
2597.3,Bank Transfer,8.0,Desktop,Houston,0,63,5,UPI,1
2046.68,Online Purchase,22.0,Mobile,New York,4,53,10,Credit Card,1
3375.97,POS Payment,7.0,Tablet,Los Angeles,0,92,5,Net Banking,1
4929.52,Bank Transfer,12.0,Mobile,Houston,1,37,2,Credit Card,1
3479.81,Bank Transfer,14.0,Desktop,Boston,3,79,2,Debit Card,1
1849.66,Online Purchase,8.0,Desktop,Los Angeles,0,110,14,Credit Card,1
2281.21,POS Payment,17.0,Tablet,Los Angeles,4,57,2,Debit Card,1
3111.79,POS Payment,6.0,Tablet,Boston,3,59,4,UPI,1
86.76,Bank Transfer,4.0,Desktop,Boston,2,113,1,Debit Card,1
3843.2,POS Payment,18.0,Desktop,Miami,2,93,11,Debit Card,1
49997.8,Online Purchase,11.0,Desktop,Miami,4,7,11,Debit Card,1
4701.5,Bank Transfer,0.0,Desktop,Houston,4,86,8,Debit Card,1
1058.75,ATM Withdrawal,16.0,Mobile,New York,4,57,1,Debit Card,1
4377.06,POS Payment,11.0,Desktop,Boston,2,30,6,UPI,1
2024.28,POS Payment,22.0,Tablet,New York,3,71,3,UPI,1
4045.34,Online Purchase,23.0,Desktop,Seattle,3,85,6,Debit Card,1
2347.1,POS Payment,22.0,Mobile,Chicago,0,20,8,Credit Card,1
2995.25,Bill Payment,7.0,Mobile,Los Angeles,4,48,1,Invalid Method,1
2724.62,Online Purchase,17.0,Mobile,Houston,4,7,12,Net Banking,1
2811.2,Bill Payment,10.0,Desktop,New York,3,53,4,Credit Card,1
3489.38,POS Payment,13.0,Desktop,Boston,4,54,8,Debit Card,1
3228.98,Bill Payment,23.0,Tablet,New York,0,41,9,Net Banking,1
45.8,Online Purchase,23.0,Mobile,San Francisco,3,37,1,Credit Card,1
4275.33,POS Payment,16.0,Tablet,Houston,4,94,12,Credit Card,1
2411.9,ATM Withdrawal,4.0,Desktop,New York,0,101,3,Net Banking,1
570.63,ATM Withdrawal,9.0,Desktop,San Francisco,4,115,1,Debit Card,1
1468.05,Bill Payment,22.0,Desktop,Chicago,4,36,11,Credit Card,1
3936.24,ATM Withdrawal,21.0,Tablet,New York,4,104,1,Net Banking,1
2797.6,ATM Withdrawal,7.0,Mobile,Chicago,3,78,7,Credit Card,1
2572.62,POS Payment,16.0,Desktop,Miami,0,49,5,Net Banking,1
3703.67,Bill Payment,11.0,Mobile,New York,3,58,1,Debit Card,1
1517.23,Bill Payment,3.0,Desktop,Houston,4,97,10,UPI,1
4840.66,Bank Transfer,21.0,Mobile,San Francisco,3,99,6,UPI,1
655.37,POS Payment,11.0,Tablet,Boston,4,61,8,Credit Card,1
2438.52,ATM Withdrawal,20.0,Mobile,New York,0,39,9,UPI,1
4501.7,Bank Transfer,11.0,Mobile,Miami,1,57,9,UPI,1
1119.33,ATM Withdrawal,1.0,Tablet,Chicago,3,1,1,Credit Card,1
3350.31,ATM Withdrawal,21.0,Desktop,Boston,0,66,9,Debit Card,1
4156.28,Online Purchase,18.0,Tablet,Los Angeles,4,80,5,UPI,1
3155.83,Online Purchase,2.0,Mobile,Chicago,0,107,6,Credit Card,1
1304.17,Bank Transfer,17.0,Mobile,Chicago,2,103,7,Net Banking,1
1837.51,ATM Withdrawal,8.0,Tablet,Chicago,0,17,5,Net Banking,1
767.18,ATM Withdrawal,13.0,Tablet,New York,0,117,13,Net Banking,1
1396.08,Online Purchase,9.0,Desktop,Houston,0,7,5,Credit Card,1
2218.35,Bank Transfer,0.0,Desktop,Boston,1,2,4,Debit Card,1
1100.77,Bill Payment,23.0,Tablet,Boston,2,37,6,UPI,1
529.89,ATM Withdrawal,11.0,Mobile,Chicago,0,96,12,UPI,1
4779.41,ATM Withdrawal,1.0,Mobile,Chicago,1,83,1,Debit Card,1
1065.08,Bank Transfer,18.0,Desktop,Seattle,3,103,8,UPI,1
1735.14,Bill Payment,11.0,Tablet,Chicago,1,99,12,Debit Card,1
846.45,ATM Withdrawal,13.0,Tablet,Boston,1,72,5,Debit Card,1
3390.3,Bank Transfer,19.0,Tablet,Houston,3,79,5,Net Banking,1
4718.58,ATM Withdrawal,18.0,Desktop,Miami,0,46,2,UPI,1
4309.23,Bill Payment,20.0,Unknown Device,Los Angeles,0,102,8,Credit Card,1
3226.86,Bill Payment,1.0,Mobile,Chicago,0,88,5,Credit Card,1
1958.32,POS Payment,7.0,Tablet,Chicago,2,77,3,UPI,1
4603.32,Bill Payment,15.0,Mobile,New York,3,106,5,Net Banking,1
3448.11,ATM Withdrawal,20.0,Unknown Device,Seattle,0,73,4,UPI,1
1069.09,Online Purchase,6.0,Desktop,Chicago,0,109,13,Net Banking,1
2892.8,ATM Withdrawal,5.0,Tablet,Chicago,0,25,4,Credit Card,1
4052.78,ATM Withdrawal,14.0,Desktop,New York,4,71,8,UPI,1
3595.83,POS Payment,4.0,Mobile,Chicago,1,67,5,Credit Card,1
4318.5,Bank Transfer,23.0,Mobile,Seattle,1,113,8,Credit Card,1
1179.67,Online Purchase,6.0,Tablet,Boston,4,73,10,Debit Card,1
3479.1,ATM Withdrawal,10.0,Desktop,Chicago,4,100,7,Invalid Method,1
1185.37,Online Purchase,22.0,Mobile,Seattle,1,85,10,Credit Card,1
2720.83,Bill Payment,20.0,Desktop,San Francisco,0,48,8,Net Banking,1
3850.18,POS Payment,14.0,Desktop,New York,2,86,12,Net Banking,1
3045.59,Bank Transfer,19.0,Tablet,New York,1,118,12,UPI,1
3443.96,POS Payment,19.0,Desktop,San Francisco,2,106,14,Net Banking,1
179.9,Bill Payment,23.0,Desktop,San Francisco,4,86,1,Debit Card,1
3935.8,Bill Payment,22.0,Tablet,Houston,1,42,4,UPI,1
2234.54,Bank Transfer,9.0,Desktop,Los Angeles,1,74,2,UPI,1
2847.02,ATM Withdrawal,4.0,Desktop,Chicago,0,55,5,Net Banking,1
3488.33,Online Purchase,11.0,Desktop,Los Angeles,4,79,4,Debit Card,1
1764.27,Bank Transfer,19.0,Mobile,San Francisco,0,20,1,Credit Card,1
1541.83,Bank Transfer,20.0,Tablet,Houston,3,13,14,Net Banking,1
4324.83,ATM Withdrawal,17.0,Mobile,Chicago,3,85,13,Debit Card,1
2493.58,Bill Payment,17.0,Desktop,Miami,4,96,14,Debit Card,1
4385.51,Bank Transfer,16.0,Unknown Device,Boston,4,105,7,Credit Card,1
908.1,Online Purchase,15.0,Desktop,Houston,1,97,3,Credit Card,1
4815.84,POS Payment,13.0,Desktop,Miami,2,43,9,Credit Card,1
4060.58,Bank Transfer,13.0,Tablet,Los Angeles,0,96,3,Credit Card,1
1243.68,POS Payment,16.0,Mobile,San Francisco,1,75,1,Debit Card,1
1824.44,ATM Withdrawal,17.0,Tablet,Houston,3,79,7,Credit Card,1
481.15,Online Purchase,14.0,Desktop,Houston,4,87,12,Credit Card,1
3869.75,Online Purchase,4.0,Mobile,Houston,1,66,7,Debit Card,1
776.35,Bank Transfer,17.0,Mobile,Chicago,2,27,13,Net Banking,1
49997.8,ATM Withdrawal,12.0,Mobile,Boston,3,92,2,UPI,1
4259.96,POS Payment,14.0,Tablet,San Francisco,3,62,2,UPI,1
4950.55,Online Purchase,16.0,Tablet,Houston,3,42,2,Credit Card,1
2859.56,Online Purchase,0.0,Desktop,Chicago,1,85,3,Debit Card,1
3433.71,Bill Payment,23.0,Desktop,Miami,2,8,3,Credit Card,1
149.87,Bank Transfer,21.0,Tablet,Miami,0,115,5,UPI,1
1608.29,POS Payment,23.0,Desktop,Houston,3,94,1,UPI,1
3047.76,Online Purchase,5.0,Mobile,New York,1,74,3,Credit Card,1
2993.84,Bill Payment,13.0,Unknown Device,Los Angeles,0,3,1,Credit Card,1
4568.23,Bank Transfer,13.0,Mobile,Los Angeles,0,51,11,Net Banking,1
3817.36,ATM Withdrawal,20.0,Mobile,New York,4,82,2,Credit Card,1
1333.25,Bank Transfer,11.0,Desktop,San Francisco,0,68,2,Debit Card,1
173.19,Bill Payment,21.0,Tablet,Chicago,3,41,3,Net Banking,1
4091.7,POS Payment,22.0,Mobile,Los Angeles,2,59,13,UPI,1
3882.14,ATM Withdrawal,4.0,Unknown Device,Houston,2,109,2,Debit Card,1
3987.89,ATM Withdrawal,23.0,Desktop,Chicago,0,70,1,UPI,1
1827.02,Bank Transfer,21.0,Tablet,Seattle,2,76,7,Credit Card,1
4480.37,ATM Withdrawal,22.0,Mobile,New York,3,50,3,Invalid Method,1
1230.17,ATM Withdrawal,19.0,Desktop,Houston,2,70,1,Net Banking,1
1816.95,Online Purchase,2.0,Tablet,Chicago,2,106,6,Credit Card,1
4804.93,ATM Withdrawal,8.0,Desktop,Houston,2,76,3,UPI,1
558.24,Bill Payment,15.0,Desktop,New York,3,34,1,Debit Card,1
247.58,POS Payment,9.0,Mobile,New York,2,98,2,Credit Card,1
3137.48,Bank Transfer,14.0,Tablet,Boston,0,74,5,Net Banking,1
468.88,ATM Withdrawal,19.0,Desktop,Boston,0,104,2,Debit Card,1
1636.9,POS Payment,14.0,Mobile,Boston,0,45,7,Net Banking,1
2795.98,ATM Withdrawal,4.0,Tablet,Boston,2,37,5,Net Banking,1
49997.8,POS Payment,5.0,Tablet,Houston,3,15,5,Debit Card,1
2088.47,ATM Withdrawal,20.0,Desktop,Los Angeles,3,111,13,Net Banking,1
4196.16,Bank Transfer,8.0,Mobile,Houston,1,113,1,UPI,1
3521.03,Bank Transfer,5.0,Desktop,Boston,0,103,7,Credit Card,1
2787.42,Online Purchase,16.0,Desktop,Chicago,4,10,4,UPI,1
2635.86,POS Payment,23.0,Desktop,New York,3,40,5,Net Banking,1
1309.08,ATM Withdrawal,18.0,Tablet,New York,3,73,7,UPI,1
3633.47,Online Purchase,18.0,Tablet,Chicago,0,43,9,Credit Card,1
3859.89,Bill Payment,10.0,Desktop,Los Angeles,0,109,1,UPI,1
3026.06,Online Purchase,19.0,Desktop,Chicago,0,63,9,Debit Card,1
1547.29,Bill Payment,22.0,Desktop,Seattle,3,82,9,Net Banking,1
2109.88,Bank Transfer,1.0,Tablet,Boston,4,80,2,Net Banking,1
928.04,Online Purchase,11.0,Tablet,Los Angeles,2,61,5,Invalid Method,1
4264.1,ATM Withdrawal,17.0,Mobile,Chicago,4,56,4,Net Banking,1
827.96,POS Payment,16.0,Tablet,Los Angeles,2,60,13,UPI,1
1562.9,Bill Payment,9.0,Mobile,Los Angeles,2,119,7,Credit Card,1
3632.76,ATM Withdrawal,18.0,Tablet,San Francisco,0,113,14,UPI,1
1065.84,Bank Transfer,22.0,Tablet,Houston,2,79,7,Debit Card,1
4629.07,Bank Transfer,11.0,Desktop,Los Angeles,0,54,7,UPI,1
2555.32,ATM Withdrawal,6.0,Desktop,Boston,1,61,11,Credit Card,1
2229.86,Bank Transfer,9.0,Tablet,Houston,4,72,6,Debit Card,1
4677.98,Bill Payment,23.0,Mobile,Chicago,4,56,14,Debit Card,1
2152.28,ATM Withdrawal,16.0,Tablet,Houston,1,103,11,UPI,1
3458.53,Online Purchase,18.0,Desktop,New York,3,34,8,UPI,1
3899.21,POS Payment,18.0,Mobile,San Francisco,2,56,9,Net Banking,1
2501.82,POS Payment,7.0,Tablet,Houston,4,82,13,UPI,1
2900.08,POS Payment,18.0,Tablet,Los Angeles,2,74,14,UPI,1
4327.51,Online Purchase,22.0,Desktop,New York,3,80,8,Credit Card,1
3816.03,Bill Payment,10.0,Desktop,Los Angeles,1,102,9,UPI,1
4517.49,ATM Withdrawal,23.0,Tablet,New York,0,4,10,UPI,1
4998.95,POS Payment,11.0,Desktop,San Francisco,0,116,11,UPI,1
1280.49,ATM Withdrawal,19.0,Mobile,Boston,0,102,13,Credit Card,1
3021.48,Online Purchase,15.0,Tablet,Los Angeles,4,96,4,UPI,1
748.15,Bank Transfer,21.0,Mobile,Miami,0,39,10,UPI,1
4121.77,POS Payment,21.0,Desktop,Miami,4,48,8,Debit Card,1
1498.21,Online Purchase,5.0,Unknown Device,San Francisco,0,110,2,UPI,1
1304.83,ATM Withdrawal,20.0,Desktop,Boston,2,39,6,Debit Card,1
49997.8,Online Purchase,17.0,Desktop,Miami,3,83,2,UPI,1
